badgeId,game,badgeName,group,status,year,universeId,rootPlaceId,note,badgeUrl,gameUrl,checkedAt
"788444728772728","The Hunt: Roblox 20","S01","hub","provided","","10766456501","74205509034203","Classic: Crossroads","https://www.roblox.com/badges/788444728772728","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"854647440808329","The Hunt: Roblox 20","S02","hub","provided","","10766456501","74205509034203","Sword Fights on the Heights IV","https://www.roblox.com/badges/854647440808329","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"2874537913586721","The Hunt: Roblox 20","S03","hub","provided","","10766456501","74205509034203","Rocket Arena","https://www.roblox.com/badges/2874537913586721","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"197788328316229","The Hunt: Roblox 20","S04","hub","provided","","10766456501","74205509034203","Chaos Canyon","https://www.roblox.com/badges/197788328316229","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"2237888773337343","The Hunt: Roblox 20","S05","hub","provided","","10766456501","74205509034203","Work at a Pizza Place","https://www.roblox.com/badges/2237888773337343","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"1439816114867036","The Hunt: Roblox 20","S06","hub","provided","","10766456501","74205509034203","Natural Disaster Survival","https://www.roblox.com/badges/1439816114867036","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"2677851507722761","The Hunt: Roblox 20","S07","hub","provided","","10766456501","74205509034203","Base Wars: The Land!","https://www.roblox.com/badges/2677851507722761","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"1719653187423190","The Hunt: Roblox 20","S08","hub","provided","","10766456501","74205509034203","Apocalypse Rising 2","https://www.roblox.com/badges/1719653187423190","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"2250297984172921","The Hunt: Roblox 20","S09","hub","provided","","10766456501","74205509034203","Murder Mystery 2","https://www.roblox.com/badges/2250297984172921","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"973955333235103","The Hunt: Roblox 20","S10","hub","provided","","10766456501","74205509034203","Lumber Tycoon 2","https://www.roblox.com/badges/973955333235103","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"1991530753845746","The Hunt: Roblox 20","S11","hub","provided","","10766456501","74205509034203","Roblox High School","https://www.roblox.com/badges/1991530753845746","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"2971308898705223","The Hunt: Roblox 20","S12","hub","provided","","10766456501","74205509034203","Jailbreak","https://www.roblox.com/badges/2971308898705223","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"308225565184426","The Hunt: Roblox 20","S13","hub","provided","","10766456501","74205509034203","Build A Boat For Treasure","https://www.roblox.com/badges/308225565184426","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"3162193440550804","The Hunt: Roblox 20","S14","hub","provided","","10766456501","74205509034203","Adopt Me!","https://www.roblox.com/badges/3162193440550804","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"389109338362080","The Hunt: Roblox 20","S15","hub","provided","","10766456501","74205509034203","World // Zero","https://www.roblox.com/badges/389109338362080","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"1070119183239664","The Hunt: Roblox 20","S16","hub","provided","","10766456501","74205509034203","Piggy","https://www.roblox.com/badges/1070119183239664","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"3178004040363002","The Hunt: Roblox 20","S17","hub","provided","","10766456501","74205509034203","Berry Avenue RP","https://www.roblox.com/badges/3178004040363002","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"1246917220157214","The Hunt: Roblox 20","S18","hub","provided","","10766456501","74205509034203","Blade Ball","https://www.roblox.com/badges/1246917220157214","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"1301021780785777","The Hunt: Roblox 20","S19","hub","provided","","10766456501","74205509034203","Dress To Impress","https://www.roblox.com/badges/1301021780785777","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
"3699804200217169","The Hunt: Roblox 20","S20","hub","provided","","10766456501","74205509034203","Grow a Garden","https://www.roblox.com/badges/3699804200217169","https://www.roblox.com/games/74205509034203","2026-09-19T19:55:59.165Z"
